physician_profile_id,physician_first_name,physician_last_name,submitting_applicable_manufacturer_or_applicable_gpo_name,total_amount_of_payment_usdollars,date_of_payment,nature_of_payment_or_transfer_of_value
625243,GARY,MCCALLUM,ORGANOGENESIS INC.,21.09,9/15/2020,Food and Beverage
625243,GARY,MCCALLUM,ORGANOGENESIS INC.,19.81,5/20/2020,Food and Beverage
1235014,GARY,MOLK,ORGANOGENESIS INC.,18.02,3/3/2020,Food and Beverage
1027301,GARY,MULDER,ORGANOGENESIS INC.,13.85,6/16/2020,Food and Beverage
1027301,GARY,MULDER,ORGANOGENESIS INC.,63.78,7/14/2020,Food and Beverage
1027301,GARY,MULDER,ORGANOGENESIS INC.,26.24,3/17/2020,Food and Beverage
1027301,GARY,MULDER,ORGANOGENESIS INC.,14.48,1/22/2020,Food and Beverage
1027301,GARY,MULDER,ORGANOGENESIS INC.,17.72,8/28/2020,Food and Beverage
1055658,GARY,OSTAHOWSKI,ORGANOGENESIS INC.,19.59,5/6/2020,Food and Beverage
1055658,GARY,OSTAHOWSKI,ORGANOGENESIS INC.,18.5,7/30/2020,Food and Beverage
1055658,GARY,OSTAHOWSKI,ORGANOGENESIS INC.,18.95,3/6/2020,Food and Beverage
312856,GARY,QUARTELLO,ORGANOGENESIS INC.,21.54,2/11/2020,Food and Beverage
253750,GARY,SCHEIB,ORGANOGENESIS INC.,25.74,10/7/2020,Food and Beverage
74587,GARY,SCHLEITER,ORGANOGENESIS INC.,17.03,8/20/2020,Food and Beverage
74587,GARY,SCHLEITER,ORGANOGENESIS INC.,18.77,1/20/2020,Food and Beverage
376307,GARY,SMITH,ORGANOGENESIS INC.,19.86,9/2/2020,Food and Beverage
1240112,GARY,STEVENS,ORGANOGENESIS INC.,11.21,3/25/2020,Food and Beverage
510936,GARY,WITUCKI,ORGANOGENESIS INC.,20.01,5/19/2020,Food and Beverage
510936,GARY,WITUCKI,ORGANOGENESIS INC.,19.76,4/1/2020,Food and Beverage
182130,GARY,YAWN,ORGANOGENESIS INC.,16.43,1/13/2020,Food and Beverage
182130,GARY,YAWN,ORGANOGENESIS INC.,52.52,2/3/2020,Food and Beverage
191445,GASTON,DANA,ORGANOGENESIS INC.,20.38,1/22/2020,Food and Beverage
191445,GASTON,DANA,ORGANOGENESIS INC.,18.49,2/21/2020,Food and Beverage
1243492,GAUHAR,KHAN,ORGANOGENESIS INC.,15.82,6/23/2020,Food and Beverage
1243492,GAUHAR,KHAN,ORGANOGENESIS INC.,15.09,9/23/2020,Food and Beverage
903085,GEMMA,BERLANGA,ORGANOGENESIS INC.,18.6,4/22/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,24.87,8/20/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,25,4/21/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,5.18,3/5/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,8.65,2/5/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,4.42,3/11/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,24.26,3/9/2020,Food and Beverage
130758,GENE,CHOI,ORGANOGENESIS INC.,119.44,2/27/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,28.63,2/20/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,40.3,6/28/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,14.53,9/2/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,21.84,7/27/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,45.29,9/24/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,39.59,10/16/2020,Food and Beverage
485714,GENTRY,HAUGHTON,ORGANOGENESIS INC.,41.29,8/6/2020,Food and Beverage
708003,GEOFFREY,ONYEUKWU,ORGANOGENESIS INC.,21.56,3/5/2020,Food and Beverage
69019,GEOFFREY,STEWART,ORGANOGENESIS INC.,120.97,6/18/2020,Food and Beverage
264032,GEOFFREY,WONG,ORGANOGENESIS INC.,21.27,7/7/2020,Food and Beverage
650974,GEORGE,ABDELMESSIEH,ORGANOGENESIS INC.,203.1,1/20/2020,Food and Beverage
108595,GEORGE,BISHOP,ORGANOGENESIS INC.,12.82,6/3/2020,Food and Beverage
276627,GEORGE,BURRUSS,ORGANOGENESIS INC.,117.68,1/9/2020,Food and Beverage
508015,GEORGE,CARDEN,ORGANOGENESIS INC.,12.19,9/16/2020,Food and Beverage
10326,GEORGE,CARIOSCIA,ORGANOGENESIS INC.,56,2/14/2020,Food and Beverage
1162629,GEORGE,ENRIQUEZ,ORGANOGENESIS INC.,17.94,7/29/2020,Food and Beverage
1004067,GEORGE,ISAACS,ORGANOGENESIS INC.,19.05,1/15/2020,Food and Beverage
1004067,GEORGE,ISAACS,ORGANOGENESIS INC.,17.34,7/15/2020,Food and Beverage
182728,GEORGE,KAMAJIAN,ORGANOGENESIS INC.,118.24,9/17/2020,Food and Beverage
55109,GEORGE,LAWSON,ORGANOGENESIS INC.,26.04,1/7/2020,Food and Beverage
931856,GEORGE,MAGILL,ORGANOGENESIS INC.,13.79,9/30/2020,Food and Beverage
931856,GEORGE,MAGILL,ORGANOGENESIS INC.,50.61,6/4/2020,Food and Beverage
931856,GEORGE,MAGILL,ORGANOGENESIS INC.,12.65,3/12/2020,Food and Beverage
51606,GEORGE,MANIS,ORGANOGENESIS INC.,21.7,2/4/2020,Food and Beverage
53697,GEORGE,SEHL,ORGANOGENESIS INC.,22.83,6/18/2020,Food and Beverage
144410,GEORGE,VALENTINI,ORGANOGENESIS INC.,35.1,10/14/2020,Food and Beverage
263329,GEORGE,WILKINSON,ORGANOGENESIS INC.,19.85,2/11/2020,Food and Beverage
48503,GEORGE,ZAHORIAN,ORGANOGENESIS INC.,11.66,3/16/2020,Food and Beverage
48503,GEORGE,ZAHORIAN,ORGANOGENESIS INC.,17.96,8/4/2020,Food and Beverage
48503,GEORGE,ZAHORIAN,ORGANOGENESIS INC.,11.66,2/26/2020,Food and Beverage
48503,GEORGE,ZAHORIAN,ORGANOGENESIS INC.,18.44,3/12/2020,Food and Beverage
129815,GEORGIANNA,DUXBURY,ORGANOGENESIS INC.,25.91,8/7/2020,Food and Beverage
129815,GEORGIANNA,DUXBURY,ORGANOGENESIS INC.,14.36,2/26/2020,Food and Beverage
129815,GEORGIANNA,DUXBURY,ORGANOGENESIS INC.,31.75,8/31/2020,Food and Beverage
129815,GEORGIANNA,DUXBURY,ORGANOGENESIS INC.,26.43,10/19/2020,Food and Beverage
86558,GERALD,GRONBORG,ORGANOGENESIS INC.,72.35,9/8/2020,Food and Beverage
243867,GERALD,MARSOCCI,ORGANOGENESIS INC.,19.05,8/26/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,19.03,6/24/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,20.73,6/17/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,17.03,7/10/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,18.57,5/13/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,20.19,6/3/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,15.97,8/26/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,11.96,4/8/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,20.73,7/16/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,12.16,4/29/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,14.23,5/20/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,17.09,8/11/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,17.73,8/17/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,13.61,7/29/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,16.46,8/5/2020,Food and Beverage
7457,GERALD,MORITZ,ORGANOGENESIS INC.,15.2,5/27/2020,Food and Beverage
4095204,GERARD,COSTELLA,ORGANOGENESIS INC.,17.32,9/30/2020,Food and Beverage
134434,GERARDO,LUGO,ORGANOGENESIS INC.,22.86,6/30/2020,Food and Beverage
134434,GERARDO,LUGO,ORGANOGENESIS INC.,25.8,9/29/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,169.04,6/5/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,10.87,5/19/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,100.64,5/26/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,15.53,3/5/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,8.73,2/6/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,4.41,3/23/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.72,2/20/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,13.44,6/23/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,4.09,1/6/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,4.92,6/2/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,2.15,4/2/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.33,6/1/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,9.15,4/28/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,2.65,5/11/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,3.59,7/28/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,10.57,3/5/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,4.61,7/28/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.83,4/10/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,2.13,2/3/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.09,1/13/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.97,3/16/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,5.33,6/22/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,1.69,1/16/2020,Food and Beverage
242520,GERRY,HOLLAND,ORGANOGENESIS INC.,13.13,9/2/2020,Food and Beverage
181834,GIANCARLO,CHECA,ORGANOGENESIS INC.,93.57,3/4/2020,Food and Beverage
297932,GILSON,KINGMAN,ORGANOGENESIS INC.,37.09,10/26/2020,Food and Beverage
297932,GILSON,KINGMAN,ORGANOGENESIS INC.,26.04,1/7/2020,Food and Beverage
1260562,GINA,GRAY,ORGANOGENESIS INC.,11.76,8/27/2020,Food and Beverage
584338,GINA,HILD,ORGANOGENESIS INC.,56,2/14/2020,Food and Beverage
584338,GINA,HILD,ORGANOGENESIS INC.,16.73,5/27/2020,Food and Beverage
584338,GINA,HILD,ORGANOGENESIS INC.,125,2/20/2020,Food and Beverage
465569,GINA,LAGNESE,ORGANOGENESIS INC.,22.18,9/22/2020,Food and Beverage
465569,GINA,LAGNESE,ORGANOGENESIS INC.,16.06,5/13/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,16.43,1/13/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,6.74,10/8/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,48.39,5/4/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,5.24,9/25/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,31.52,2/3/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,8.82,2/17/2020,Food and Beverage
316979,GINA,MENDOZA,ORGANOGENESIS INC.,5.88,1/13/2020,Food and Beverage
3778569,GINA,NALBANDIAN,ORGANOGENESIS INC.,21.32,2/26/2020,Food and Beverage
100277,GINA,PAINTER,ORGANOGENESIS INC.,23.68,4/29/2020,Food and Beverage
240065,GIOVANNA,CIOCCA,ORGANOGENESIS INC.,16.87,5/15/2020,Food and Beverage
58632,GIOVANNI,CATALANO,ORGANOGENESIS INC.,14.14,2/6/2020,Food and Beverage
58632,GIOVANNI,CATALANO,ORGANOGENESIS INC.,13.22,6/23/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,16.71,4/24/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,16.14,6/12/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,60.43,7/29/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,49.93,9/18/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,16.75,4/16/2020,Food and Beverage
23884,GIRISH,NAIR,ORGANOGENESIS INC.,16.14,4/27/2020,Food and Beverage
1010206,GISELLE,OJEDA,ORGANOGENESIS INC.,22.29,8/24/2020,Food and Beverage
1080444,GLEN,FELTHAM,ORGANOGENESIS INC.,15.41,8/17/2020,Food and Beverage
31138,GLENN,BEDSOLE,ORGANOGENESIS INC.,16.81,2/12/2020,Food and Beverage
885076,GLENN,GLOGAS,ORGANOGENESIS INC.,18.01,1/21/2020,Food and Beverage
885076,GLENN,GLOGAS,ORGANOGENESIS INC.,18.92,3/10/2020,Food and Beverage
885076,GLENN,GLOGAS,ORGANOGENESIS INC.,123.5,1/17/2020,Food and Beverage
945625,GLENN,HARTMAN,ORGANOGENESIS INC.,48.28,9/17/2020,Food and Beverage
73762,GLENN,LAMBERT,ORGANOGENESIS INC.,101.91,3/9/2020,Food and Beverage
73762,GLENN,LAMBERT,ORGANOGENESIS INC.,18.95,1/21/2020,Food and Beverage
73762,GLENN,LAMBERT,ORGANOGENESIS INC.,17.54,9/25/2020,Food and Beverage
223593,GLENN,SLOAT,ORGANOGENESIS INC.,17.3,5/6/2020,Food and Beverage
223593,GLENN,SLOAT,ORGANOGENESIS INC.,12.93,1/8/2020,Food and Beverage
250484,GLENN,WHITTED,ORGANOGENESIS INC.,31.88,8/20/2020,Food and Beverage
2784175,GLENN,WOODLEY,ORGANOGENESIS INC.,22.73,6/12/2020,Food and Beverage
2784175,GLENN,WOODLEY,ORGANOGENESIS INC.,11.1,6/30/2020,Food and Beverage
240049,GLENN,ZELLMAN,ORGANOGENESIS INC.,15.36,4/15/2020,Food and Beverage
6921963,GOLDA,KWAYISI,ORGANOGENESIS INC.,12.47,5/22/2020,Food and Beverage
6921963,GOLDA,KWAYISI,ORGANOGENESIS INC.,31.49,9/25/2020,Food and Beverage
3376095,GOLTA,RASOULI,ORGANOGENESIS INC.,14.6,10/28/2020,Food and Beverage
4122,GOPAL,RAO,ORGANOGENESIS INC.,25.01,10/6/2020,Food and Beverage
721606,GORDON,DIXON,ORGANOGENESIS INC.,15.16,1/21/2020,Food and Beverage
721606,GORDON,DIXON,ORGANOGENESIS INC.,18.66,2/13/2020,Food and Beverage
136011,GORDON,MILLER,ORGANOGENESIS INC.,125,2/20/2020,Food and Beverage
158521,GOVIND,ACHARYA,ORGANOGENESIS INC.,23.93,2/17/2020,Food and Beverage
1331305,GRACE,CRAIG,ORGANOGENESIS INC.,18.2,8/5/2020,Food and Beverage
1331305,GRACE,CRAIG,ORGANOGENESIS INC.,20.5,6/17/2020,Food and Beverage
1331305,GRACE,CRAIG,ORGANOGENESIS INC.,20.41,8/11/2020,Food and Beverage
7656,GRAEME,WOODWORTH,ORGANOGENESIS INC.,104.99,8/19/2020,Food and Beverage
302103,GREG,BLASKO,ORGANOGENESIS INC.,63.66,3/3/2020,Food and Beverage
17546,GREG,RUBINSTEIN,ORGANOGENESIS INC.,9.22,5/22/2020,Food and Beverage
17546,GREG,RUBINSTEIN,ORGANOGENESIS INC.,24.48,2/7/2020,Food and Beverage
17546,GREG,RUBINSTEIN,ORGANOGENESIS INC.,121.54,2/12/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,25.8,10/13/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,22.62,8/25/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,12.32,4/28/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,98.68,1/23/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,19.98,10/14/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,18.62,5/6/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,14.08,3/24/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,12.31,8/18/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,44.41,10/6/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,18.38,6/30/2020,Food and Beverage
30150,GREGG,ATLAS,ORGANOGENESIS INC.,22.08,4/29/2020,Food and Beverage
128000,GREGORY,BEARDEN,ORGANOGENESIS INC.,20.48,10/20/2020,Food and Beverage
352241,GREGORY,BEVELS,ORGANOGENESIS INC.,16.4,2/10/2020,Food and Beverage
352241,GREGORY,BEVELS,ORGANOGENESIS INC.,11.98,1/15/2020,Food and Beverage
352241,GREGORY,BEVELS,ORGANOGENESIS INC.,15.49,4/21/2020,Food and Beverage
634217,GREGORY,BIRCH,ORGANOGENESIS INC.,41.39,1/25/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,36.8,7/16/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,17.57,5/11/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,13.13,8/19/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,17.97,3/10/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,32.24,9/29/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,19.64,2/10/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,19.78,5/27/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,22.94,6/9/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,18.71,3/30/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,5.88,10/26/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,22.84,6/11/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,18.88,2/13/2020,Food and Beverage
205659,GREGORY,BLACK,ORGANOGENESIS INC.,122.93,2/6/2020,Food and Beverage
540507,GREGORY,BOAKE,ORGANOGENESIS INC.,15.18,9/17/2020,Food and Beverage
540507,GREGORY,BOAKE,ORGANOGENESIS INC.,17.55,3/19/2020,Food and Beverage
343421,GREGORY,BROSLAWSKI,ORGANOGENESIS INC.,13.12,2/12/2020,Food and Beverage
833435,GREGORY,BRYAN,ORGANOGENESIS INC.,19.69,6/2/2020,Food and Beverage
833435,GREGORY,BRYAN,ORGANOGENESIS INC.,14.01,5/5/2020,Food and Beverage
833435,GREGORY,BRYAN,ORGANOGENESIS INC.,16.03,2/21/2020,Food and Beverage
44154,GREGORY,KEZELE,ORGANOGENESIS INC.,82.13,9/15/2020,Food and Beverage
163555,GREGORY,KRAMER,ORGANOGENESIS INC.,27,5/21/2020,Food and Beverage
163555,GREGORY,KRAMER,ORGANOGENESIS INC.,16.83,8/13/2020,Food and Beverage
163555,GREGORY,KRAMER,ORGANOGENESIS INC.,25.23,2/13/2020,Food and Beverage
187929,GREGORY,LANTZ,ORGANOGENESIS INC.,17.09,3/6/2020,Food and Beverage
74385,GREGORY,LOO,ORGANOGENESIS INC.,13.99,7/9/2020,Food and Beverage
360742,GREGORY,MOTE,ORGANOGENESIS INC.,33.22,8/18/2020,Food and Beverage
360742,GREGORY,MOTE,ORGANOGENESIS INC.,14.67,2/3/2020,Food and Beverage
360742,GREGORY,MOTE,ORGANOGENESIS INC.,29.97,8/11/2020,Food and Beverage
360742,GREGORY,MOTE,ORGANOGENESIS INC.,26.14,7/20/2020,Food and Beverage
302298,GREGORY,MUKALIAN,ORGANOGENESIS INC.,58.47,2/27/2020,Food and Beverage
302298,GREGORY,MUKALIAN,ORGANOGENESIS INC.,17.62,2/7/2020,Food and Beverage
302298,GREGORY,MUKALIAN,ORGANOGENESIS INC.,21.44,3/12/2020,Food and Beverage
30892,GREGORY,NEAL,ORGANOGENESIS INC.,20.44,9/8/2020,Food and Beverage
30892,GREGORY,NEAL,ORGANOGENESIS INC.,6.74,10/8/2020,Food and Beverage
30892,GREGORY,NEAL,ORGANOGENESIS INC.,147.91,1/13/2020,Food and Beverage
157310,GREGORY,ROWE,ORGANOGENESIS INC.,22.75,6/25/2020,Food and Beverage
28676,GREGORY,SMITH,ORGANOGENESIS INC.,11.78,2/27/2020,Food and Beverage
541908,GREGORY,TITUS,ORGANOGENESIS INC.,23.09,6/9/2020,Food and Beverage
541908,GREGORY,TITUS,ORGANOGENESIS INC.,17.9,10/20/2020,Food and Beverage
541908,GREGORY,TITUS,ORGANOGENESIS INC.,14.44,6/3/2020,Food and Beverage
1210539,GREGORY,WITTENBERG,ORGANOGENESIS INC.,19.02,2/4/2020,Food and Beverage
1088435,GRETCHEN,EVANS,ORGANOGENESIS INC.,20.67,1/8/2020,Food and Beverage
62366,GRETCHEN,LAWRENCE,ORGANOGENESIS INC.,14.37,8/20/2020,Food and Beverage
62366,GRETCHEN,LAWRENCE,ORGANOGENESIS INC.,16.16,3/30/2020,Food and Beverage
487174,GUADALUPE,CAVAZOS,ORGANOGENESIS INC.,73.67,1/21/2020,Food and Beverage
236428,GUIDO,LAPORTA,ORGANOGENESIS INC.,18.33,1/15/2020,Food and Beverage
236428,GUIDO,LAPORTA,ORGANOGENESIS INC.,12.45,7/22/2020,Food and Beverage
236428,GUIDO,LAPORTA,ORGANOGENESIS INC.,14.33,9/2/2020,Food and Beverage
236428,GUIDO,LAPORTA,ORGANOGENESIS INC.,11.26,3/4/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,3.77,7/7/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,9.27,6/4/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,23.08,7/22/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,22.88,4/21/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,3.69,6/19/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,17.67,3/24/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,42.59,3/16/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,5.15,4/16/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,4.91,7/24/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,26.2,2/27/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,18.1,7/23/2020,Food and Beverage
812652,GUY,PETERSON,ORGANOGENESIS INC.,6.31,5/13/2020,Food and Beverage
148953,HAARIS,MIR,ORGANOGENESIS INC.,99.99,1/14/2020,Food and Beverage
219511,HABIB,KHOURY,ORGANOGENESIS INC.,18.2,8/5/2020,Food and Beverage
219511,HABIB,KHOURY,ORGANOGENESIS INC.,82.09,7/7/2020,Food and Beverage
532184,HADI,SHALHOUB,ORGANOGENESIS INC.,16.95,3/17/2020,Food and Beverage
532184,HADI,SHALHOUB,ORGANOGENESIS INC.,12.44,9/1/2020,Food and Beverage
532184,HADI,SHALHOUB,ORGANOGENESIS INC.,13.67,5/19/2020,Food and Beverage
532184,HADI,SHALHOUB,ORGANOGENESIS INC.,22.64,8/11/2020,Food and Beverage
532184,HADI,SHALHOUB,ORGANOGENESIS INC.,13.25,8/24/2020,Food and Beverage
1218455,HAI-EN,PENG,ORGANOGENESIS INC.,32.57,7/29/2020,Food and Beverage
2784951,HAIDER,BANGASH,ORGANOGENESIS INC.,14.07,7/21/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,24.5,8/13/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,5.61,9/18/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,19.66,10/12/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,22.25,1/20/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,10.92,10/7/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,110.63,7/21/2020,Food and Beverage
189036,HAIM,COHEN,ORGANOGENESIS INC.,21.88,7/27/2020,Food and Beverage
212993,HAL,ABRAHAMS,ORGANOGENESIS INC.,19.45,2/18/2020,Food and Beverage
1301561,HALSEY,WYATT,ORGANOGENESIS INC.,58.29,7/28/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,3.68,3/4/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,124.32,1/15/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,20.71,9/11/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,80.84,6/25/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,109.26,2/27/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,6.43,2/12/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,18.19,3/4/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,10.27,2/11/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,113.4,2/12/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,125,2/7/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,5.92,3/3/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,20.93,3/11/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,109.26,2/27/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,4.95,1/23/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,30,6/25/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,5.52,6/25/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,6.48,6/26/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,98.49,1/18/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,6.93,3/10/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,3.68,3/4/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,6.05,2/7/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,3.84,1/23/2020,Food and Beverage
125574,HAN,PHAM HULEN,ORGANOGENESIS INC.,8.2,3/10/2020,Food and Beverage
